provincia,es_anonima,via_ingreso,consultante_nacionalidad,consultante_provincia,consultante_localidad,consultante_como_conocio_la_linea,consultante_genero,consultante_edad_aparente,fecha_ingreso
0.16,0.0,0.3793103448275862,0.06666666666666667,0.16666666666666666,0.16216216216216217,0.8636363636363636,0.16666666666666666,0.26595744680851063,0.0
0.36,0.0,0.3793103448275862,0.13333333333333333,1.0,0.9729729729729729,0.8636363636363636,0.16666666666666666,0.2989329562254933,0.0008084074373484236
0.0,0.5,0.3793103448275862,1.0,1.0,0.9729729729729729,0.8636363636363636,0.16666666666666666,0.2989329562254933,0.0008084074373484236
0.64,0.5,0.3793103448275862,0.06666666666666667,1.0,0.9729729729729729,0.29545454545454547,0.16666666666666666,0.2989329562254933,0.0008084074373484236
0.96,0.5,0.3793103448275862,1.0,1.0,0.9729729729729729,0.29545454545454547,0.16666666666666666,0.2989329562254933,0.0008084074373484236
0.96,0.0,0.3793103448275862,1.0,1.0,0.9729729729729729,0.8636363636363636,0.0,0.2989329562254933,0.0008084074373484236
0.96,0.0,0.3793103448275862,1.0,1.0,0.9729729729729729,0.8636363636363636,1.0,0.2989329562254933,0.0008084074373484236
0.0,0.0,0.3793103448275862,1.0,1.0,0.9729729729729729,0.29545454545454547,1.0,0.2989329562254933,0.0016168148746968471
0.88,0.0,0.3793103448275862,0.06666666666666667,1.0,0.9729729729729729,0.29545454545454547,0.0,0.2989329562254933,0.0016168148746968471
0.0,0.0,0.3793103448275862,1.0,1.0,0.9729729729729729,0.8636363636363636,0.0,0.2989329562254933,0.0016168148746968471
0.0,0.0,0.3793103448275862,0.06666666666666667,1.0,0.9729729729729729,0.29545454545454547,0.16666666666666666,0.2989329562254933,0.0016168148746968471
0.92,0.5,0.3793103448275862,1.0,1.0,0.9729729729729729,0.29545454545454547,1.0,0.2989329562254933,0.0016168148746968471
0.96,0.0,0.3793103448275862,1.0,1.0,0.9729729729729729,0.8636363636363636,0.16666666666666666,0.2989329562254933,0.0024252223120452706
0.8,0.0,0.3793103448275862,0.06666666666666667,1.0,0.9729729729729729,0.8636363636363636,0.16666666666666666,0.2989329562254933,0.0024252223120452706
0.96,0.0,0.3793103448275862,0.06666666666666667,1.0,0.9729729729729729,0.8636363636363636,0.16666666666666666,0.2989329562254933,0.0024252223120452706
0.96,0.0,0.3793103448275862,0.06666666666666667,0.0,0.09009009009009009,0.8636363636363636,0.16666666666666666,0.2989329562254933,0.0024252223120452706
0.16,0.0,0.3793103448275862,0.13333333333333333,0.16666666666666666,0.16216216216216217,0.8636363636363636,0.16666666666666666,0.1595744680851064,0.0032336297493936943
0.24,0.0,0.3793103448275862,0.06666666666666667,1.0,0.9729729729729729,0.8636363636363636,0.16666666666666666,0.2989329562254933,0.0032336297493936943
0.0,0.0,0.3793103448275862,0.06666666666666667,0.0,0.34684684684684686,0.8636363636363636,0.16666666666666666,0.2989329562254933,0.0040420371867421175
0.0,0.0,0.3793103448275862,1.0,1.0,0.9729729729729729,0.8636363636363636,1.0,0.2989329562254933,0.0040420371867421175
0.96,0.0,0.3793103448275862,0.06666666666666667,1.0,0.9729729729729729,0.29545454545454547,0.16666666666666666,0.2989329562254933,0.004850444624090541
0.92,0.0,0.3793103448275862,1.0,1.0,0.9729729729729729,0.29545454545454547,1.0,0.2989329562254933,0.004850444624090541
0.64,0.0,0.3793103448275862,0.06666666666666667,1.0,0.9729729729729729,0.5,0.16666666666666666,0.3191489361702128,0.004850444624090541
0.28,0.0,0.3793103448275862,0.06666666666666667,1.0,0.9729729729729729,0.29545454545454547,0.16666666666666666,0.2989329562254933,0.005658852061438965
0.0,0.0,0.3793103448275862,0.06666666666666667,0.0,0.09009009009009009,0.8636363636363636,0.16666666666666666,0.2989329562254933,0.005658852061438965
0.0,0.0,0.3793103448275862,0.06666666666666667,0.0,0.14414414414414414,0.09090909090909091,0.16666666666666666,0.3404255319148936,0.0064672594987873885
0.96,0.0,0.3793103448275862,0.06666666666666667,1.0,0.9729729729729729,0.09090909090909091,0.16666666666666666,0.2989329562254933,0.0064672594987873885
